"city","check","actual","expected","status","severity"
"lausanne","Original FSO 2020 inbound total","61593","61593","pass","high"
"lausanne","Every mapped FSO inbound pair matches original","0","0","pass","high"
"lausanne","Original FSO 2020 outbound total","26589","26589","pass","high"
"lausanne","Every mapped FSO outbound pair matches original","0","0","pass","high"
"bern","Unique corridor keys","0","0","pass","high"
"bern","Valid corridor values","0","0","pass","high"
"bern","Corridor count agrees with summary","2814","2814","pass","high"
"bern","car cache references current corridors","0","0","pass","medium"
"bern","rail cache references current corridors","0","0","pass","medium"
"bern","active cache references current corridors","0","0","pass","medium"
"bern","Route geometry and travel times","0","0","pass","high"
"bern","Route endpoint snap within review threshold","0","0","pass","medium"
"bern","Rail edge and station integrity","0","0","pass","high"
"bern","Car coverage inbound at least 95% of mapped estimates","95.03090080529371","95","pass","high"
"bern","Car coverage outbound at least 95% of mapped estimates","95.02954466458117","95","pass","high"
"bern","Mode filters add to all-mode population within rounding","1","2","pass","high"
"bern","No modes gives zero population change","0","0","pass","high"
"bern","foreignInbound rows conserve mapped summary","593","593","pass","high"
"bern","foreignInbound population scope matches summary","593","593","pass","high"
"bern","swissInbound rows conserve mapped summary","99175","99175","pass","high"
"bern","swissInbound population scope matches summary","106124","106124","pass","high"
"bern","swissOutbound rows conserve mapped summary","17906","17906","pass","high"
"bern","swissOutbound population scope matches summary","21725","21725","pass","high"
"bern","FSO 2023 car share copied accurately","0.1605560922890501","0.1605560922890501","pass","high"
"bern","FSO 2023 transit share copied accurately","0.5330527763677152","0.5330527763677152","pass","high"
"bern","FSO 2023 soft share copied accurately","0.3063911313432347","0.3063911313432347","pass","high"
"bern","FSO Q4 2025 border-worker total rounded correctly","593","593","pass","high"
"bern","Original FSO 2020 inbound total","106124","106124","pass","high"
"bern","Every mapped FSO inbound pair matches original","0","0","pass","high"
"bern","Original FSO 2020 outbound total","21725","21725","pass","high"
"bern","Every mapped FSO outbound pair matches original","0","0","pass","high"
"winterthur","Unique corridor keys","0","0","pass","high"
"winterthur","Valid corridor values","0","0","pass","high"
"winterthur","Corridor count agrees with summary","1782","1782","pass","high"
"winterthur","car cache references current corridors","0","0","pass","medium"
"winterthur","rail cache references current corridors","0","0","pass","medium"
"winterthur","active cache references current corridors","0","0","pass","medium"
"winterthur","Route geometry and travel times","0","0","pass","high"
"winterthur","Route endpoint snap within review threshold","0","0","pass","medium"
"winterthur","Rail edge and station integrity","0","0","pass","high"
"winterthur","Car coverage inbound at least 95% of mapped estimates","95.05855216465578","95","pass","high"
"winterthur","Car coverage outbound at least 95% of mapped estimates","95.01148670823761","95","pass","high"
"winterthur","Mode filters add to all-mode population within rounding","1","2","pass","high"
"winterthur","No modes gives zero population change","0","0","pass","high"
"winterthur","foreignInbound rows conserve mapped summary","1148","1148","pass","high"
"winterthur","foreignInbound population scope matches summary","1148","1148","pass","high"
"winterthur","swissInbound rows conserve mapped summary","35414","35414","pass","high"
"winterthur","swissInbound population scope matches summary","36580","36580","pass","high"
"winterthur","swissOutbound rows conserve mapped summary","29655","29655","pass","high"
"winterthur","swissOutbound population scope matches summary","30590","30590","pass","high"
"winterthur","FSO 2023 car share copied accurately","0.308175333780406","0.308175333780406","pass","high"
"winterthur","FSO 2023 transit share copied accurately","0.4697514682273568","0.4697514682273568","pass","high"
"winterthur","FSO 2023 soft share copied accurately","0.22207319799223718","0.22207319799223718","pass","high"
"winterthur","FSO Q4 2025 border-worker total rounded correctly","1148","1148","pass","high"
"winterthur","Original FSO 2020 inbound total","36580","36580","pass","high"
"winterthur","Every mapped FSO inbound pair matches original","0","0","pass","high"
"winterthur","Original FSO 2020 outbound total","30590","30590","pass","high"
"winterthur","Every mapped FSO outbound pair matches original","0","0","pass","high"
"lucerne","Unique corridor keys","0","0","pass","high"
"lucerne","Valid corridor values","0","0","pass","high"
"lucerne","Corridor count agrees with summary","1764","1764","pass","high"
"lucerne","car cache references current corridors","0","0","pass","medium"
"lucerne","rail cache references current corridors","0","0","pass","medium"
"lucerne","active cache references current corridors","0","0","pass","medium"
"lucerne","Route geometry and travel times","0","0","pass","high"
"lucerne","Route endpoint snap within review threshold","0","0","pass","medium"
"lucerne","Rail edge and station integrity","0","0","pass","high"
"lucerne","Car coverage inbound at least 95% of mapped estimates","95.04074301235433","95","pass","high"
"lucerne","Car coverage outbound at least 95% of mapped estimates","95.09354715540283","95","pass","high"
"lucerne","Mode filters add to all-mode population within rounding","1","2","pass","high"
"lucerne","No modes gives zero population change","0","0","pass","high"
"lucerne","foreignInbound rows conserve mapped summary","235","235","pass","high"
"lucerne","foreignInbound population scope matches summary","235","235","pass","high"
"lucerne","swissInbound rows conserve mapped summary","39617","39617","pass","high"
"lucerne","swissInbound population scope matches summary","40921","40921","pass","high"
"lucerne","swissOutbound rows conserve mapped summary","18289","18289","pass","high"
"lucerne","swissOutbound population scope matches summary","19182","19182","pass","high"
"lucerne","FSO 2023 car share copied accurately","0.2848201574126306","0.2848201574126306","pass","high"
"lucerne","FSO 2023 transit share copied accurately","0.4340666720391114","0.4340666720391114","pass","high"
"lucerne","FSO 2023 soft share copied accurately","0.28111317054825796","0.28111317054825796","pass","high"
"lucerne","FSO Q4 2025 border-worker total rounded correctly","235","235","pass","high"
"lucerne","Original FSO 2020 inbound total","40921","40921","pass","high"
"lucerne","Every mapped FSO inbound pair matches original","0","0","pass","high"
"lucerne","Original FSO 2020 outbound total","19182","19182","pass","high"
"lucerne","Every mapped FSO outbound pair matches original","0","0","pass","high"
"st-gallen","Unique corridor keys","0","0","pass","high"
"st-gallen","Valid corridor values","0","0","pass","high"
"st-gallen","Corridor count agrees with summary","1431","1431","pass","high"
"st-gallen","car cache references current corridors","0","0","pass","medium"
"st-gallen","rail cache references current corridors","0","0","pass","medium"
"st-gallen","active cache references current corridors","0","0","pass","medium"
"st-gallen","Route geometry and travel times","0","0","pass","high"
"st-gallen","Route endpoint snap within review threshold","0","0","pass","medium"
"st-gallen","Rail edge and station integrity","0","0","pass","high"
"st-gallen","Car coverage inbound at least 95% of mapped estimates","95.06266205704408","95","pass","high"
"st-gallen","Car coverage outbound at least 95% of mapped estimates","95.0369155045119","95","pass","high"
"st-gallen","Mode filters add to all-mode population within rounding","1","2","pass","high"
"st-gallen","No modes gives zero population change","0","0","pass","high"
"st-gallen","foreignInbound rows conserve mapped summary","1668","1668","pass","high"
"st-gallen","foreignInbound population scope matches summary","1668","1668","pass","high"
"st-gallen","swissInbound rows conserve mapped summary","45851","45851","pass","high"
"st-gallen","swissInbound population scope matches summary","46841","46841","pass","high"
"st-gallen","swissOutbound rows conserve mapped summary","12551","12551","pass","high"
"st-gallen","swissOutbound population scope matches summary","12938","12938","pass","high"
"st-gallen","FSO 2023 car share copied accurately","0.3903067197377663","0.3903067197377663","pass","high"
"st-gallen","FSO 2023 transit share copied accurately","0.39083352844767033","0.39083352844767033","pass","high"
"st-gallen","FSO 2023 soft share copied accurately","0.21885975181456332","0.21885975181456332","pass","high"
"st-gallen","FSO Q4 2025 border-worker total rounded correctly","1668","1668","pass","high"
"st-gallen","Original FSO 2020 inbound total","46841","46841","pass","high"
"st-gallen","Every mapped FSO inbound pair matches original","0","0","pass","high"
"st-gallen","Original FSO 2020 outbound total","12938","12938","pass","high"
"st-gallen","Every mapped FSO outbound pair matches original","0","0","pass","high"
"lugano","Unique corridor keys","0","0","pass","high"
"lugano","Valid corridor values","0","0","pass","high"
"lugano","Corridor count agrees with summary","588","588","pass","high"
"lugano","car cache references current corridors","0","0","pass","medium"
"lugano","rail cache references current corridors","0","0","pass","medium"
"lugano","active cache references current corridors","0","0","pass","medium"
"lugano","Route geometry and travel times","0","0","pass","high"
"lugano","Route endpoint snap within review threshold","0","0","pass","medium"
"lugano","Rail edge and station integrity","0","0","pass","high"
"lugano","Car coverage inbound at least 95% of mapped estimates","95.00430663221361","95","pass","high"
"lugano","Car coverage outbound at least 95% of mapped estimates","95.14854183701281","95","pass","high"
"lugano","Mode filters add to all-mode population within rounding","1","2","pass","high"
"lugano","No modes gives zero population change","0","0","pass","high"
"lugano","foreignInbound rows conserve mapped summary","15663","15663","pass","high"
"lugano","foreignInbound population scope matches summary","15663","15663","pass","high"
"lugano","swissInbound rows conserve mapped summary","18165","18165","pass","high"
"lugano","swissInbound population scope matches summary","18248","18248","pass","high"
"lugano","swissOutbound rows conserve mapped summary","7131","7131","pass","high"
"lugano","swissOutbound population scope matches summary","7197","7197","pass","high"
"lugano","FSO 2023 car share copied accurately","0.5146548131684956","0.5146548131684956","pass","high"
"lugano","FSO 2023 transit share copied accurately","0.2521183497708015","0.2521183497708015","pass","high"
"lugano","FSO 2023 soft share copied accurately","0.23322683706070288","0.23322683706070288","pass","high"
"lugano","FSO Q4 2025 border-worker total rounded correctly","15663","15663","pass","high"
"lugano","Original FSO 2020 inbound total","18248","18248","pass","high"
"lugano","Every mapped FSO inbound pair matches original","0","0","pass","high"
"lugano","Original FSO 2020 outbound total","7197","7197","pass","high"
"lugano","Every mapped FSO outbound pair matches original","0","0","pass","high"
"biel-bienne","Unique corridor keys","0","0","pass","high"
"biel-bienne","Valid corridor values","0","0","pass","high"
"biel-bienne","Corridor count agrees with summary","1401","1401","pass","high"
"biel-bienne","car cache references current corridors","0","0","pass","medium"
"biel-bienne","rail cache references current corridors","0","0","pass","medium"
"biel-bienne","active cache references current corridors","0","0","pass","medium"
"biel-bienne","Route geometry and travel times","0","0","pass","high"
"biel-bienne","Route endpoint snap within review threshold","0","0","pass","medium"
"biel-bienne","Rail edge and station integrity","0","0","pass","high"
"biel-bienne","Car coverage inbound at least 95% of mapped estimates","95.04344110525567","95","pass","high"
"biel-bienne","Car coverage outbound at least 95% of mapped estimates","95.001571832757","95","pass","high"
"biel-bienne","Mode filters add to all-mode population within rounding","1","2","pass","high"
"biel-bienne","No modes gives zero population change","0","0","pass","high"
"biel-bienne","foreignInbound rows conserve mapped summary","558","558","pass","high"
"biel-bienne","foreignInbound population scope matches summary","558","558","pass","high"
"biel-bienne","swissInbound rows conserve mapped summary","20955","20955","pass","high"
"biel-bienne","swissInbound population scope matches summary","22117","22117","pass","high"
"biel-bienne","swissOutbound rows conserve mapped summary","9737","9737","pass","high"
"biel-bienne","swissOutbound population scope matches summary","10854","10854","pass","high"
"biel-bienne","FSO 2023 car share copied accurately","0.32612915749967647","0.32612915749967647","pass","high"
"biel-bienne","FSO 2023 transit share copied accurately","0.41370087571718217","0.41370087571718217","pass","high"
"biel-bienne","FSO 2023 soft share copied accurately","0.26016996678314136","0.26016996678314136","pass","high"
"biel-bienne","FSO Q4 2025 border-worker total rounded correctly","558","558","pass","high"
"biel-bienne","Original FSO 2020 inbound total","22117","22117","pass","high"
"biel-bienne","Every mapped FSO inbound pair matches original","0","0","pass","high"
"biel-bienne","Original FSO 2020 outbound total","10854","10854","pass","high"
"biel-bienne","Every mapped FSO outbound pair matches original","0","0","pass","high"
"schaffhausen","Unique corridor keys","0","0","pass","high"
"schaffhausen","Valid corridor values","0","0","pass","high"
"schaffhausen","Corridor count agrees with summary","672","672","pass","high"
"schaffhausen","car cache references current corridors","0","0","pass","medium"
"schaffhausen","rail cache references current corridors","0","0","pass","medium"
"schaffhausen","active cache references current corridors","0","0","pass","medium"
"schaffhausen","Route geometry and travel times","0","0","pass","high"
"schaffhausen","Route endpoint snap within review threshold","0","0","pass","medium"
"schaffhausen","Rail edge and station integrity","0","0","pass","high"
"schaffhausen","Car coverage inbound at least 95% of mapped estimates","95.02208630648998","95","pass","high"
"schaffhausen","Car coverage outbound at least 95% of mapped estimates","95.00426985482494","95","pass","high"
"schaffhausen","Mode filters add to all-mode population within rounding","1","2","pass","high"
"schaffhausen","No modes gives zero population change","0","0","pass","high"
"schaffhausen","foreignInbound rows conserve mapped summary","3218","3218","pass","high"
"schaffhausen","foreignInbound population scope matches summary","3218","3218","pass","high"
"schaffhausen","swissInbound rows conserve mapped summary","10731","10731","pass","high"
"schaffhausen","swissInbound population scope matches summary","12322","12322","pass","high"
"schaffhausen","swissOutbound rows conserve mapped summary","5563","5563","pass","high"
"schaffhausen","swissOutbound population scope matches summary","7764","7764","pass","high"
"schaffhausen","FSO 2023 car share copied accurately","0.42188879082082964","0.42188879082082964","pass","high"
"schaffhausen","FSO 2023 transit share copied accurately","0.38563863321144876","0.38563863321144876","pass","high"
"schaffhausen","FSO 2023 soft share copied accurately","0.1924725759677216","0.1924725759677216","pass","high"
"schaffhausen","FSO Q4 2025 border-worker total rounded correctly","3218","3218","pass","high"
"schaffhausen","Original FSO 2020 inbound total","12322","12322","pass","high"
"schaffhausen","Every mapped FSO inbound pair matches original","0","0","pass","high"
"schaffhausen","Original FSO 2020 outbound total","7764","7764","pass","high"
"schaffhausen","Every mapped FSO outbound pair matches original","0","0","pass","high"
"la-chaux-de-fonds","Unique corridor keys","0","0","pass","high"
"la-chaux-de-fonds","Valid corridor values","0","0","pass","high"
"la-chaux-de-fonds","Corridor count agrees with summary","471","471","pass","high"
"la-chaux-de-fonds","car cache references current corridors","0","0","pass","medium"
"la-chaux-de-fonds","rail cache references current corridors","0","0","pass","medium"
"la-chaux-de-fonds","active cache references current corridors","0","0","pass","medium"
"la-chaux-de-fonds","Route geometry and travel times","0","0","pass","high"
"la-chaux-de-fonds","Route endpoint snap within review threshold","0","0","pass","medium"
"la-chaux-de-fonds","Rail edge and station integrity","0","0","pass","high"
"la-chaux-de-fonds","Car coverage inbound at least 95% of mapped estimates","95.19884309472162","95","pass","high"
"la-chaux-de-fonds","Car coverage outbound at least 95% of mapped estimates","95.15435717076983","95","pass","high"
"la-chaux-de-fonds","Mode filters add to all-mode population within rounding","1","2","pass","high"
"la-chaux-de-fonds","No modes gives zero population change","0","0","pass","high"
"la-chaux-de-fonds","foreignInbound rows conserve mapped summary","5580","5580","pass","high"
"la-chaux-de-fonds","foreignInbound population scope matches summary","5580","5580","pass","high"
"la-chaux-de-fonds","swissInbound rows conserve mapped summary","7012","7012","pass","high"
"la-chaux-de-fonds","swissInbound population scope matches summary","7469","7469","pass","high"
"la-chaux-de-fonds","swissOutbound rows conserve mapped summary","4658","4658","pass","high"
"la-chaux-de-fonds","swissOutbound population scope matches summary","5158","5158","pass","high"
"la-chaux-de-fonds","FSO 2023 car share copied accurately","0.5491003982969372","0.5491003982969372","pass","high"
"la-chaux-de-fonds","FSO 2023 transit share copied accurately","0.2673396511468205","0.2673396511468205","pass","high"
"la-chaux-de-fonds","FSO 2023 soft share copied accurately","0.18355995055624227","0.18355995055624227","pass","high"
"la-chaux-de-fonds","FSO Q4 2025 border-worker total rounded correctly","5580","5580","pass","high"
"la-chaux-de-fonds","Original FSO 2020 inbound total","7469","7469","pass","high"
"la-chaux-de-fonds","Every mapped FSO inbound pair matches original","0","0","pass","high"
"la-chaux-de-fonds","Original FSO 2020 outbound total","5158","5158","pass","high"
"la-chaux-de-fonds","Every mapped FSO outbound pair matches original","0","0","pass","high"
"geneva","OCSTAT Vaud inbound summary","23398","23398","pass","high"
"geneva","OCSTAT Vaud outbound summary","6881","6881","pass","high"
"geneva","Full-canton inbound population versus OCSTAT","23398","25628","fail","high"
"zurich → winterthur","Same OD car allocation on both city pages","553","1040","fail","high"
"zurich → lucerne","Same OD car allocation on both city pages","209","363","fail","high"
"bern → biel-bienne","Same OD car allocation on both city pages","96","194","fail","high"
"bern → la-chaux-de-fonds","Same OD car allocation on both city pages","1","4","fail","high"
"winterthur → zurich","Same OD car allocation on both city pages","3430","1826","fail","high"
"winterthur → st-gallen","Same OD car allocation on both city pages","214","271","fail","high"
"winterthur → schaffhausen","Same OD car allocation on both city pages","121","165","fail","high"
"lucerne → zurich","Same OD car allocation on both city pages","500","288","fail","high"
"st-gallen → winterthur","Same OD car allocation on both city pages","163","129","fail","high"
"biel-bienne → bern","Same OD car allocation on both city pages","436","215","fail","high"
"biel-bienne → la-chaux-de-fonds","Same OD car allocation on both city pages","27","46","fail","high"
"schaffhausen → winterthur","Same OD car allocation on both city pages","322","235","fail","high"
"la-chaux-de-fonds → bern","Same OD car allocation on both city pages","38","11","fail","high"
"la-chaux-de-fonds → biel-bienne","Same OD car allocation on both city pages","64","38","fail","high"
"geneva","INSEE French origin-mode totals reproduce after rounding","0","0","pass","high"
"geneva","INSEE positive rounded origin-mode rows are complete","0","0","pass","high"
